x	y	part
656564	152739	VS
656645	152700	VS
656756	152648	VS
656817	152604	VS
656954	152537	VS
657019	152509	VS
657100	152480	VS
657236	152438	VS
657340	152516	VS
657503	152584	VS
657633	152622	VS
657777	152665	VS
657856	152722	VS
658214	152810	VS
658354	152813	VS
658449	152810	VS
658680	152785	VS
658816	152728	VS
658984	152822	VS
659054	152853	VS
659183	152901	VS
659237	152922	VS
659332	152954	VS
659471	153002	VS
659625	153031	VS
659725	153038	VS
659900	153057	VS
660015	153054	VS
660150	153057	VS
660221	153049	VS
660365	153062	VS
660490	153065	VS
660600	153077	VS
660685	153079	VS
660830	153082	VS
660971	153070	VS
661261	153071	VS
661380	153124	VS
661445	153145	VS
661560	153143	VS
661715	153156	VS
661834	153204	VS
661933	153231	VS
662037	153273	VS
662141	153336	VS
662265	153364	VS
662395	153401	VS
662535	153399	VS
662665	153402	VS
662735	153419	VS
662972	153549	VS
663046	153616	VS
663105	153667	VS
663178	153744	VS
663261	153846	VS
663360	153903	VS
663424	153924	VS
663519	153946	VS
663648	153979	VS
663812	154033	VS
663920	154130	VS
664029	154183	VS
664173	154211	VS
664268	154228	VS
664378	154235	VS
664633	154241	VS
664677	154307	VS
664740	154408	VS
664792	154509	VS
664870	154601	VS
664933	154698	VS
665036	154790	VS
665169	154898	VS
665263	154965	VS
665436	155039	VS
665635	155088	VS
665809	155157	VS
666003	155191	VS
666183	155235	VS
666452	155266	VS
666504	155402	VS
666522	155493	VS
666525	155588	VS
666548	155688	VS
666646	155796	VS
666784	155889	VS
666852	155985	VS
666924	156127	VS
667016	156234	VS
667124	156341	VS
667219	156349	VS
667349	156341	VS
667489	156339	VS
667625	156342	VS
667759	156360	VS
667898	156403	VS
668037	156466	VS
668111	156543	VS
668238	156651	VS
668341	156743	VS
668494	156832	VS
668633	156925	VS
668721	156987	VS
668855	157055	VS
669009	157113	VS
669147	157186	VS
669360	157276	VS
669448	157378	VS
669551	157490	VS
669674	157593	VS
669746	157705	VS
669789	157811	VS
669883	157878	VS
669979	158040	VS
670018	158111	VS
670046	158171	VS
670074	158257	VS
670117	158358	VS
670299	158542	VS
670363	158579	VS
670447	158647	VS
670509	158785	VS
670814	159104	VS
671004	159438	VS
671100	159495	VS
671204	159624	VS
671229	159749	VS
671090	159724	VS
670976	159671	VS
670828	159681	VS
670742	159714	VS
670719	159762	VS
670700	159924	VS
670660	160081	VS
670741	160151	VS
670773	160276	VS
670790	160417	VS
670819	160713	VS
670796	160862	VS
670771	161072	VS
670750	161322	VS
670812	161498	VS
670847	161714	VS
670894	161835	VS
671014	162073	VS
671110	162255	VS
671191	162462	VS
671273	162609	VS
671339	162801	VS
671415	162973	VS
671456	163144	VS
671397	163342	VS
671310	163626	VS
671236	163814	VS
671207	163999	VS
671206	164269	VS
671247	164445	VS
671394	164623	VS
671516	164756	VS
671647	164929	VS
671819	165063	VS
672022	165198	VS
672332	165400	VS
672463	165628	VS
672582	165865	VS
672767	166115	VS
672953	166319	VS
673231	166625	VS
673368	166793	VS
673460	166920	VS
673483	167016	VS
673541	167097	VS
673560	167148	VS
673627	167299	VS
673901	167360	VS
674026	167363	VS
674141	167376	VS
674200	167392	VS
674400	167416	VS
674555	167410	VS
674706	167378	VS
674837	167326	VS
674959	167248	VS
675052	167115	VS
675192	166893	VS
675265	166780	VS
675204	166573	VS
675139	166342	VS
675150	166102	VS
675187	165777	VS
675147	165551	VS
675166	165341	VS
675197	165097	VS
675216	164922	VS
675218	164797	VS
675276	164678	VS
675260	164503	VS
675194	164311	VS
675178	164111	VS
675228	163886	VS
675263	163672	VS
675264	163412	VS
675232	163241	VS
675123	163003	VS
675051	162862	VS
674995	162645	VS
674893	162313	VS
674787	162095	VS
674681	161923	VS
674628	161842	VS
674476	161688	VS
674294	161524	VS
674366	161230	VS
674362	160960	VS
674360	160810	VS
674332	160474	VS
674289	160163	VS
674257	159792	VS
674330	159438	VS
674501	159192	VS
674584	159023	VS
674699	158811	VS
674804	158613	VS
674950	158346	VS
675079	157938	VS
675162	157555	VS
675238	157291	VS
675353	157048	VS
675453	156860	VS
675480	156669	VS
675483	156499	VS
675531	156370	VS
675555	156210	VS
675583	156051	VS
675632	155877	VS
675695	155733	VS
675743	155619	VS
675780	155515	VS
675832	155436	VS
675945	155298	VS
676078	155201	VS
676255	155085	VS
676402	154998	VS
676559	154921	VS
676711	154850	VS
676959	154725	VS
677146	154644	VS
677334	154518	VS
677450	154466	VS
677581	154413	VS
677728	154361	VS
677871	154215	VS
677974	154067	VS
678051	153988	VS
678200	154057	VS
678339	154120	VS
678481	154228	VS
678655	154302	VS
678801	154255	VS
678946	154043	VS
678999	153899	VS
679057	153770	VS
679140	153637	VS
679258	153509	VS
679374	153467	VS
679531	153405	VS
679706	153369	VS
679650	153228	VS
679622	153132	VS
679439	153023	VS
679273	152834	VS
679166	152672	VS
679021	152478	VS
678977	152412	VS
678909	152331	VS
678796	152238	VS
678844	152074	VS
678894	151870	VS
678929	151646	VS
678936	151531	VS
678855	151349	VS
678772	151272	VS
678403	151229	VS
678224	151140	VS
678110	151103	VS
677921	151034	VS
677863	150942	VS
677792	150791	VS
677826	150586	VS
677870	150412	VS
677852	150332	VS
677830	150211	VS
677617	150101	VS
677483	150063	VS
677368	150031	VS
677259	150003	VS
677135	149931	VS
676956	149907	VS
676800	149913	VS
676609	149939	VS
676429	149940	VS
676300	149917	VS
676132	149824	VS
676008	149751	VS
675859	149713	VS
675690	149654	VS
675561	149596	VS
675398	149492	VS
675174	149453	VS
675028	149489	VS
674765	149599	VS
674607	149505	VS
674408	149476	VS
674228	149467	VS
674083	149464	VS
673832	149483	VS
673621	149514	VS
673521	149532	VS
673365	149568	VS
673139	149593	VS
673106	149507	VS
673113	149393	VS
673172	149249	VS
673240	149105	VS
673324	148912	VS
673352	148777	VS
673366	148593	VS
673309	148476	VS
673236	148370	VS
673154	148243	VS
673092	148111	VS
673025	147965	VS
672980	147734	VS
672955	147513	VS
672914	147322	VS
672862	147201	VS
672840	147045	VS
672809	146879	VS
672813	146734	VS
672805	146599	VS
672832	146387	VS
672909	146210	VS
673109	146037	VS
673271	145910	VS
673414	145771	VS
673506	145609	VS
673595	145428	VS
673637	145344	VS
673645	145270	VS
673403	145126	VS
673307	144949	VS
673101	144964	VS
672886	144970	VS
672666	144955	VS
672482	144886	VS
672358	144858	VS
672228	144865	VS
671911	144918	VS
671751	144935	VS
671486	144899	VS
671238	144789	VS
671065	144690	VS
670928	144582	VS
670683	144326	VS
670507	144142	VS
670303	143888	VS
670157	143699	VS
669686	143254	VS
669435	143068	VS
669293	142925	VS
669057	142710	VS
668900	142576	VS
668714	142387	VS
668512	142252	VS
668285	142102	VS
668019	141932	VS
667828	141727	VS
667525	141611	VS
667385	141607	VS
667194	141653	VS
666987	141744	VS
666916	141782	VS
666769	141884	VS
666629	141856	VS
666550	141809	VS
666499	141628	VS
666414	141411	VS
666338	141194	VS
666029	140687	VS
665919	140480	VS
665739	140226	VS
665588	140047	VS
665511	139905	VS
665643	139843	VS
665710	139745	VS
665843	139633	VS
665898	139604	VS
665998	139606	VS
666159	139599	VS
666273	139402	VS
666344	139353	VS
666545	139308	VS
666656	139285	VS
666815	139314	VS
667014	139378	VS
667148	139216	VS
667221	139097	VS
667329	138954	VS
667426	138852	VS
667479	138728	VS
667517	138578	VS
667499	138513	VS
667518	138343	VS
667552	138144	VS
667641	137961	VS
667674	137811	VS
667730	137562	VS
667602	137454	VS
667459	137351	VS
667357	137224	VS
667299	137123	VS
667303	136938	VS
667233	136741	VS
667189	136675	VS
667066	136587	VS
666909	136454	VS
666785	136376	VS
666686	136339	VS
666531	136340	VS
666244	136184	VS
666127	136061	VS
666044	135964	VS
665901	135861	VS
665758	135743	VS
665552	135574	VS
665400	135415	VS
665254	135267	VS
665131	135159	VS
665057	135092	VS
664991	134931	VS
664817	135102	VS
664665	135164	VS
664478	135250	VS
664232	135290	VS
663933	135253	VS
663774	135169	VS
663597	135056	VS
663473	134983	VS
663365	134880	VS
663304	134734	VS
663306	134619	VS
663369	134475	VS
663496	134423	VS
663582	134380	VS
663535	134224	VS
663494	134033	VS
663562	133914	VS
663651	133716	VS
663419	133591	VS
663301	133513	VS
663203	133391	VS
663226	133276	VS
663323	133153	VS
663415	133075	VS
663497	133012	VS
663589	132924	VS
663359	132899	VS
663229	132921	VS
663087	132983	VS
662956	133035	VS
662845	133043	VS
662686	132994	VS
662593	132937	VS
662519	132851	VS
662463	132709	VS
662429	132638	VS
662413	132468	VS
662224	132399	VS
662080	132351	VS
661976	132298	VS
661922	132277	VS
661725	132318	VS
661569	132385	VS
661298	132409	VS
661181	132281	VS
661088	132199	VS
661010	132097	VS
660941	132036	VS
660837	131973	VS
660763	131917	VS
660660	131854	VS
660532	131761	VS
660520	131596	VS
660403	131478	VS
660330	131387	VS
660291	131316	VS
660329	131192	VS
660374	130968	VS
660442	130829	VS
660474	130745	VS
660492	130620	VS
660319	130501	VS
660181	130438	VS
660013	130324	VS
659886	130206	VS
659818	130100	VS
659806	129959	VS
659824	129810	VS
659756	129708	VS
659620	129550	VS
659575	129324	VS
659483	129167	VS
659508	128952	VS
659542	128783	VS
659606	128574	VS
659695	128391	VS
659722	128322	VS
659677	128115	VS
659560	127963	VS
659392	127839	VS
659288	127792	VS
659124	127743	VS
658936	127659	VS
658867	127828	VS
658745	127940	VS
658643	128008	VS
658491	128070	VS
658267	128045	VS
658065	127900	VS
657960	127888	VS
657753	127963	VS
657582	128020	VS
657468	127947	VS
657365	127865	VS
657202	127746	VS
656994	127662	VS
656830	127608	VS
656686	127585	VS
656456	127550	VS
656227	127500	VS
656093	127462	VS
655953	127439	VS
655709	127398	VS
655235	127624	VS
655080	127748	VS
654975	127813	VS
654840	127883	VS
654624	127977	VS
654449	128057	VS
654319	128102	VS
654214	128132	VS
654014	128151	VS
653879	128061	VS
653749	127981	VS
653614	127841	VS
653420	127670	VS
653275	127435	VS
653091	127290	VS
652866	127169	VS
