river_nr	x	y	river
1	555531	189762	rhine
1	555522	189761	rhine
1	555508	189770	rhine
1	555499	189780	rhine
1	555487	189803	rhine
1	555483	189813	rhine
1	555466	189839	rhine
1	555459	189847	rhine
1	555451	189861	rhine
1	555446	189881	rhine
1	555445	189892	rhine
1	555443	189914	rhine
1	555441	189917	rhine
1	555438	189927	rhine
1	555427	189948	rhine
1	555425	189959	rhine
1	555440	189966	rhine
1	555464	189967	rhine
1	555474	189977	rhine
1	555493	189982	rhine
1	555501	189989	rhine
1	555510	190010	rhine
1	555511	190024	rhine
1	555514	190036	rhine
1	555518	190042	rhine
1	555545	190067	rhine
1	555562	190078	rhine
1	555573	190079	rhine
1	555591	190074	rhine
1	555620	190059	rhine
1	555635	190055	rhine
1	555656	190059	rhine
1	555673	190055	rhine
1	555685	190043	rhine
1	555690	190039	rhine
1	555705	190033	rhine
1	555708	190022	rhine
1	555709	190011	rhine
1	555706	190002	rhine
1	555695	189983	rhine
1	555670	189943	rhine
1	555661	189929	rhine
1	555659	189921	rhine
1	555656	189910	rhine
1	555658	189903	rhine
1	555664	189899	rhine
1	555671	189903	rhine
1	555696	189955	rhine
1	555715	189983	rhine
1	555746	190025	rhine
1	555763	190049	rhine
1	555767	190060	rhine
1	555786	190092	rhine
1	555806	190120	rhine
1	555812	190128	rhine
1	555826	190127	rhine
1	555818	190132	rhine
1	555812	190141	rhine
1	555813	190162	rhine
1	555814	190172	rhine
1	555841	190189	rhine
1	555862	190209	rhine
1	555868	190236	rhine
1	555878	190282	rhine
1	555881	190321	rhine
1	555877	190337	rhine
1	555865	190349	rhine
1	555846	190359	rhine
1	555831	190371	rhine
1	555834	190376	rhine
1	555846	190378	rhine
1	555854	190381	rhine
1	555870	190379	rhine
1	555880	190375	rhine
1	555899	190362	rhine
1	555916	190364	rhine
1	555921	190371	rhine
1	555928	190392	rhine
1	555937	190397	rhine
1	555955	190404	rhine
1	555973	190421	rhine
1	556001	190438	rhine
1	556049	190460	rhine
1	556073	190490	rhine
1	556078	190499	rhine
1	556087	190515	rhine
1	556100	190528	rhine
1	556110	190534	rhine
1	556142	190572	rhine
1	556192	190620	rhine
1	556210	190638	rhine
1	556212	190651	rhine
1	556170	190673	rhine
1	556154	190693	rhine
1	556152	190703	rhine
1	556154	190720	rhine
1	556184	190765	rhine
1	556206	190789	rhine
1	556240	190790	rhine
1	556281	190798	rhine
1	556323	190812	rhine
1	556341	190828	rhine
