#######river number and name
#1 Orbe
#2 Talent
#3 Mentue
#4 Areuse
#5 
#6 
#7 Broye
#8 Suze
#9 La jogne
#10 Sarine
#11 Glane
#12 Aare
#13 Guerbe
#14 Simme
#15 Kander
#16 Aare
#17 Luetschine
#18 Schwarze Luetschine
#19 Aare
#20 Rhein
#21 Rhein
#22 Vorderrhein
#23 Sense
#24 Landquart
#25 Birs
#26 La Sorne
#27 Scheulte
#28 Ergolz
#29 Sissle
#30 Aare
#31 Langete
#32 Wigger
#33 Suhr
#34 Aa
#35 Grosse Emme
#36 Ilfis
#37 Kleine Emme
#38 Sitter
#39 Entlen
#40 Reuss
#41 Sarner Aa
#42 Aa
#43 Reuss
#44 Schaechen
#45 Muota
#46 Sihl
#47 Glatt
#48 Limmat
#49 Thur
#50 Murg
#51 Toess
#52 Linth
#53 Waegitaler Aa
#54 Linth
#55 Sernf
#56 Hinterrhein
#57 Landwasser
#58 Albula
#59 Ragn da Ferrera
#60 Vispa
#61 Drance
#62 La Borgne
#63 La Liene
#64 La Vieze
#65 Grande Eau
#66 Venoge
#67 Rhone
#68 Rhone
#69 Doubs
#70 Ticino
#71 Moesa
#72 Diveria
#73 Cassarate
#74 Maggia
#75 Mera
#76 Poschiavino
#77 Flaz
#78 Spoel
#79 En
#80 Breggia			
#81 Faloppia			
#82 Etsch			
#83 Etsch			
#############################			
river_nr	x	y	river
2	539441	160443	rhine
2	539421	160447	rhine
2	539415	160450	rhine
2	539406	160449	rhine
2	539402	160441	rhine
2	539407	160420	rhine
2	539411	160405	rhine
2	539408	160395	rhine
2	539398	160384	rhine
2	539381	160374	rhine
2	539367	160373	rhine
2	539360	160376	rhine
2	539337	160380	rhine
2	539334	160377	rhine
2	539314	160376	rhine
2	539302	160381	rhine
2	539287	160393	rhine
2	539279	160392	rhine
2	539274	160387	rhine
2	539269	160383	rhine
2	539261	160377	rhine
2	539249	160375	rhine
2	539232	160374	rhine
2	539228	160371	rhine
2	539231	160363	rhine
2	539232	160357	rhine
2	539232	160353	rhine
2	539225	160343	rhine
2	539211	160324	rhine
2	539205	160319	rhine
2	539200	160314	rhine
2	539184	160296	rhine
2	539179	160280	rhine
2	539175	160260	rhine
2	539166	160241	rhine
2	539158	160234	rhine
2	539157	160231	rhine
2	539147	160222	rhine
2	539141	160219	rhine
2	539135	160214	rhine
2	539123	160213	rhine
2	539107	160226	rhine
2	539099	160231	rhine
2	539075	160232	rhine
2	539059	160246	rhine
2	539041	160251	rhine
2	539032	160253	rhine
2	539023	160252	rhine
2	539017	160253	rhine
2	539009	160256	rhine
2	539006	160259	rhine
2	538987	160267	rhine
2	538977	160266	rhine
2	538969	160262	rhine
2	538965	160256	rhine
2	538964	160250	rhine
2	538967	160241	rhine
2	538967	160230	rhine
2	538964	160221	rhine
2	538958	160216	rhine
2	538933	160207	rhine
2	538922	160208	rhine
2	538899	160220	rhine
2	538894	160272	rhine
2	538883	160293	rhine
