#BDM_EPT_DATA_VERSION_20150828														
#gives_all_records_of_macroinvertebrates_from_2009-2014														
sort_nr	year	locality	xkoord	ykoord	drainage	species	genus	family	order	class	IBCH_EPT	nr_ind		
12931	2012	722267	722000	267859	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
12977	2012	734275	734000	275894	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	1		
13178	2012	764195	764000	195516	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	5		
13210	2012	770139	770893	140000	ADDA	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	5		
13235	2012	770179	770000	179372	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	8		
13250	2012	776203	777000	203038	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	3		
13297	2012	782187	782000	187726	RHEIN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
13327	2012	788171	788000	171115	INN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
13349	2012	800139	800169	140000	ADDA	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	101		
13397	2012	824195	824843	196000	INN	IBCH	IBCH	Athericidae	Diptera	Insecta	IBCH	11		
2350	2009	539198	539500	198000	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2386	2009	551166	550962	166394	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2442	2009	587207	587612	207000	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2477	2009	593238	594002	238627	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2510	2009	599190	599364	191089	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
2547	2009	617214	617790	215000	RHEIN	Alainites_muticus	Alainites	Baetidae	Ephemeroptera	Insecta	EPT	1		
